Model,ACC,SIM,FL,J,chrF
RuT5-base (baseline),0.7537,0.8055,0.8169,0.5046,0.579
CAIF ruGPT-3 paraphraser,0.805,0.5194,0.7877,0.3352,0.3242
CAIF RuT5 paraphraser,0.6807,0.6584,0.6912,0.3063,0.3295
CAIF mT5-large paraphraser,0.6852,0.5955,0.6795,0.2755,0.3732
RuT5-base paraphraser (beam search),0.3412,0.742,0.7568,0.1643,0.3232
RuT5-base paraphraser bad words,0.3577,0.7631,0.7296,0.1639,0.4025
RuT5-base paraphraser (top-k),0.4418,0.5997,0.714,0.1635,0.2674
mT5-large paraphraser,0.3887,0.6085,0.7972,0.159,0.3552
ruGPT-3 paraphraser,0.5308,0.3439,0.8837,0.1582,0.2117
